,code_dep,date,lat,long,tc
95,05,2017-10-29,44.565667,6.502333,10.364285714285737
96,05,2017-11-05,44.565667,6.502333,8.000000000000027
97,05,2017-11-12,44.565667,6.502333,4.083928571428596
98,05,2017-11-19,44.565667,6.502333,4.159259259259282
99,05,2017-11-26,44.565667,6.502333,4.246428571428597
100,05,2017-12-03,44.565667,6.502333,-0.4454545454545248
101,05,2017-12-10,44.565667,6.502333,-1.2428571428571178
102,05,2017-12-17,44.565667,6.502333,0.2321428571428805
103,05,2017-12-24,44.565667,6.502333,-1.0127272727272476
104,05,2017-12-31,44.565667,6.502333,-0.10535714285711809
105,05,2018-01-07,44.565667,6.502333,4.108928571428597
106,05,2018-01-14,44.565667,6.502333,3.269642857142884
107,05,2018-01-21,44.565667,6.502333,2.6071428571428825
108,05,2018-01-28,44.565667,6.502333,5.112500000000021
109,05,2018-02-04,44.565667,6.502333,0.7571428571428781
110,05,2018-02-11,44.565667,6.502333,1.12678571428574
111,05,2018-02-18,44.565667,6.502333,2.3178571428571684
112,05,2018-02-25,44.565667,6.502333,2.6857142857143117
113,05,2018-03-04,44.565667,6.502333,-1.7509433962263927
114,05,2018-03-11,44.565667,6.502333,4.880357142857165
115,05,2018-03-18,44.565667,6.502333,4.412500000000022
116,05,2018-03-25,44.565667,6.502333,4.028571428571451
117,05,2018-04-01,44.565667,6.502333000000001,5.612195121951244
118,05,2018-04-08,44.565667,6.502333,10.235714285714307
119,05,2018-04-15,44.565667,6.502333,9.576785714285736
120,05,2018-04-22,44.565667,6.502333,16.371428571428595
121,05,2018-04-29,44.565667,6.502333,16.271428571428594
122,05,2018-05-06,44.565667,6.502333,13.242857142857163
123,05,2018-05-13,44.565667,6.502333,13.387500000000022
124,05,2018-05-20,44.565667,6.502333,12.689285714285736
125,05,2018-05-27,44.565667,6.502333,16.560714285714308
126,05,2018-06-03,44.565667,6.502333,15.871428571428595
127,05,2018-06-10,44.565667,6.502333,16.70714285714288
128,05,2018-06-17,44.565667,6.502333,16.96607142857145
129,05,2018-06-24,44.565667,6.502333,19.41607142857145
130,05,2018-07-01,44.565667,6.502333,21.15178571428574
131,05,2018-07-08,44.565667,6.502333,22.030357142857163
132,05,2018-07-15,44.565667,6.502333,22.24528301886795
133,05,2018-07-22,44.565667,6.502333,20.91607142857145
134,05,2018-07-29,44.565667,6.502333,22.06607142857145
135,05,2018-08-05,44.565667,6.502333,24.212500000000023
136,05,2018-08-12,44.565667,6.502333,20.225000000000023
137,05,2018-08-19,44.565667,6.502333,19.641071428571454
138,05,2018-08-26,44.565667,6.502333,18.76428571428574
139,05,2018-09-02,44.565667,6.502333,17.40178571428574
140,05,2018-09-09,44.565667,6.502333,17.60535714285717
141,05,2018-09-16,44.565667,6.502333,20.03214285714288
142,05,2018-09-23,44.565667,6.502333,19.812500000000025
143,05,2018-09-30,44.565667,6.502333,17.001785714285734
144,05,2018-10-07,44.565667,6.502333,13.453571428571452
145,05,2018-10-14,44.565667,6.502333,15.862500000000022
146,05,2018-10-21,44.565667,6.502333,16.114285714285735
147,05,2018-10-28,44.565667,6.502333,10.55000000000002
148,05,2018-11-04,44.565667,6.502333,9.11071428571431
149,05,2018-11-11,44.565667,6.502333,10.40892857142859
150,05,2018-11-18,44.565667,6.502333,8.610714285714309
151,05,2018-11-25,44.565667,6.502333,4.091071428571449
152,05,2018-12-02,44.565667,6.502333,2.603571428571453
153,05,2018-12-09,44.565667,6.502333,5.598214285714311
154,05,2018-12-16,44.565667,6.502333,0.7892857142857385
155,05,2018-12-23,44.565667,6.502333,1.603571428571448
156,05,2018-12-30,44.565667,6.502333,1.9803571428571658
157,05,2019-01-06,44.565667,6.502333,-0.11785714285711789
158,05,2019-01-13,44.565667,6.502333,-1.7053571428571186
159,05,2019-01-20,44.565667,6.502333,1.4714285714285944
160,05,2019-01-27,44.565667,6.502333,-0.9928571428571159
161,05,2019-02-03,44.565667,6.502333,-0.8089285714285482
162,05,2019-02-10,44.565667,6.502333,2.348214285714307
163,05,2019-02-17,44.565667,6.502333,5.419642857142883
164,05,2019-02-24,44.565667,6.502333,5.910714285714309
165,05,2019-03-03,44.565667,6.502333,7.846428571428596
166,05,2019-03-10,44.565667,6.502333,7.055357142857166
